trajectory_id,rlm_semantic,full_semantic,semantic_delta_full_minus_rlm,rlm_anchor,full_anchor,anchor_delta_rlm_minus_full,rlm_control_correct,full_control_correct,rlm_false_positive,full_false_positive
tau2-official-retail-17-trial-0-3cb14cf3-dc95-426a-a6b9-4e7a59622a67,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-68-trial-0-8308f4e0-d36f-4599-8b6a-e97d7bee2f9c,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-35-trial-0-39d2c249-6e85-4db3-8f36-049be2744cf3,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.5,0.8333333333333334,-0.33333333333333337,,,,
tau2-official-retail-44-trial-0-1005448f-435c-4bdf-9717-910629df3560,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-67-trial-0-0c069c42-79c2-4e05-9673-bcdba7b92b37,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-40-trial-0-c7501668-b417-4c72-af78-43204c45294a,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-61-trial-0-b9812fe8-e6f9-4d6b-81ec-12f28eb1cd35,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-10-trial-0-f851d9ba-5a06-4166-837f-810cd77135fc,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,True,False
tau2-official-retail-24-trial-0-a24b5470-30a2-4174-905e-205345902e17,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,True,False
tau2-official-retail-73-trial-0-e9a19c5e-e33a-4735-9690-952861d6296a,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-50-trial-0-84dfb908-8813-439b-857e-d16294bff2d4,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-16-trial-0-6a93cd64-631d-4b2d-b6d2-9ff494e1bc4d,0.42857142857142855,0.42857142857142855,0.0,0.6666666666666666,0.8333333333333334,-0.16666666666666674,,,,
tau2-official-retail-14-trial-0-eda0557a-f4f8-48de-8947-877c54b4f668,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8,0.6,0.20000000000000007,,,,
tau2-official-retail-81-trial-0-a8518d8b-77b4-421a-9467-a5c3f3b67a9e,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,True,False
tau2-official-retail-51-trial-0-3543b212-22eb-475f-a934-30d9c881c0a4,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-89-trial-0-15892c8e-a4ad-4566-955c-d0179e140524,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-75-trial-0-ff919223-145c-4796-bdec-544f4908bffb,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-60-trial-0-06bd042e-25dc-4106-aafd-12b64f1395b2,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-26-trial-0-932d2cce-d20c-441a-b35c-87f901d06ed1,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-57-trial-0-bec0fed4-06b5-4b78-a30a-9c9dccc833bf,0.3333333333333333,1.0,0.6666666666666667,0.6,0.6,0.0,,,,
tau2-official-retail-1-trial-0-90a739b1-b72f-428d-8a95-723791708c08,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-0-trial-0-91be1eb1-dfc9-42a6-95f8-0e64866b72f4,0.0,0.0,0,0.0,0.0,0,,,,
tau2-official-retail-25-trial-0-72368cd5-3a4f-4df0-889f-be7f84621d7a,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,True,False
tau2-official-retail-87-trial-0-b35b9188-3d1c-4b86-be26-420f5bd2e0d3,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-3-trial-0-a687c1c0-951b-4223-9c77-3c953196c16a,0.75,0.75,0.0,0.8333333333333334,0.5,0.33333333333333337,,,,
tau2-official-retail-59-trial-0-d8c503b8-06f2-4799-8738-d2e6e9264c38,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-49-trial-0-7754d804-b8a9-4d7f-9833-6efe84a02aa3,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-18-trial-0-af10ab2e-8cba-403b-8021-2fe41bb15439,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-4-trial-0-a3124340-43c0-4c7a-b1cb-0e421a306665,0.3333333333333333,,-0.3333333333333333,0.2,,0.2,,,,
tau2-official-retail-33-trial-0-0ea5bd66-eb64-49f9-a5d2-e75b4dbfa83d,0.4,0.6,0.19999999999999996,0.6666666666666666,0.5,0.16666666666666663,,,,
tau2-official-retail-70-trial-0-b09cd596-b320-4bb2-a23d-92225f893749,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-77-trial-0-866b9a65-80cc-4173-bf93-3c46e65aa899,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-41-trial-0-27821963-0f7b-440e-850f-b8b2f48298e4,0.0,0.0,0,0.0,0.0,0,,,,
tau2-official-retail-84-trial-0-7cb53a04-0ae4-4e1f-bf75-373eed7c3450,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-37-trial-0-bb2313ba-2ae5-40c6-a24e-f826bb62ea73,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,True,False
tau2-official-retail-97-trial-0-1a7486b0-2f8a-419e-90f6-9a13fb000052,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-48-trial-0-822ebd6d-23f9-4565-a0b8-0a7f456656bd,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-66-trial-0-fdd7cf6e-1cca-43f8-9051-4405d031d9df,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-69-trial-0-96097f50-52c0-4e93-888c-1e76d65e7d97,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-28-trial-0-7091c828-0b65-4d8f-866d-741ddcd41585,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.6,0.6,0.0,,,,
tau2-official-retail-13-trial-0-ce40a938-68a2-4e9a-86c1-0558240a6bd9,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,True,False
tau2-official-retail-46-trial-0-f8b068ea-fe0d-49ba-b8d1-c50564231045,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-90-trial-0-5a6fda6a-352c-4ec7-a5da-1182fdb713fa,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-62-trial-0-34720cde-27ca-437e-990d-3df5cd9b424e,1.0,1.0,0.0,,,0,1.0,1.0,False,False
tau2-official-retail-39-trial-0-e33529e4-0678-45b5-b01d-33e3785e65db,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,True,False
tau2-official-retail-2-trial-0-bd4086b3-ccfb-48a1-ad09-d05af4bc7782,0.0,0.0,0,1.0,1.0,0.0,,,,
tau2-official-retail-20-trial-0-4b5ce631-0492-41ad-829c-630c29b7ae57,0.0,0.0,0,1.0,1.0,0.0,,,,
